no,name,type_1,type_2,stage,is_final,is_legendary,is_mythical,is_ultra,hp,attack,defense,sp_attack,sp_defense,speed,normal,fire,water,electric,grass,ice,fighting,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel,fairy
872,Snom,ice,bug,1,0,0,0,0,30,25,35,45,30,20,1,4,1,1,0.5,0.5,1,1,0.5,2,1,1,4,1,1,1,2,1
873,Frosmoth,ice,bug,2,1,0,0,0,70,65,60,125,90,65,1,4,1,1,0.5,0.5,1,1,0.5,2,1,1,4,1,1,1,2,1
831,Wooloo,normal,,1,0,0,0,0,42,40,55,40,45,48,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
832,Dubwool,normal,,2,1,0,0,0,72,80,100,60,90,88,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
819,Skwovet,normal,,1,0,0,0,0,70,55,55,35,35,25,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
820,Greedent,normal,,2,1,0,0,0,120,95,95,55,75,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
220,Swinub,ice,ground,1,0,0,0,0,50,50,40,30,30,50,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
221,Piloswine,ice,ground,2,0,0,0,0,100,100,80,60,60,50,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
473,Mamoswine,ice,ground,3,1,0,0,0,110,130,80,70,60,80,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
439,Mime Jr.,psychic,fairy,1,0,0,0,0,20,25,45,70,90,60,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
122,Mr. Mime,psychic,fairy,2,1,0,0,0,50,65,65,90,90,100,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
866,Mr. Rime,ice,psychic,3,0,0,0,0,80,85,75,110,100,70,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
238,Smoochum,ice,psychic,1,0,0,0,0,45,30,15,85,65,65,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
124,Jynx,ice,psychic,2,1,0,0,0,65,50,35,115,95,95,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
239,Elekid,electric,,1,0,0,0,0,45,63,37,65,55,95,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
125,Electabuzz,electric,,2,0,0,0,0,65,83,57,95,85,105,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
