no,name,type_1,type_2,stage,is_final,is_legendary,is_mythical,is_ultra,hp,attack,defense,sp_attack,sp_defense,speed,normal,fire,water,electric,grass,ice,fighting,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel,fairy
1,Bulbasaur,grass,poison,1,0,0,0,0,45,49,49,65,65,45,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
2,Ivysaur,grass,poison,2,0,0,0,0,60,62,63,80,80,60,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
3,Venusaur,grass,poison,3,1,0,0,0,80,82,83,100,100,80,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
4,Charmander,fire,,1,0,0,0,0,39,52,43,60,50,65,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
5,Charmeleon,fire,,2,0,0,0,0,58,64,58,80,65,80,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
6,Charizard,fire,flying,3,1,0,0,0,78,84,78,109,85,100,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
7,Squirtle,water,,1,0,0,0,0,44,48,65,50,64,43,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
8,Wartortle,water,,2,0,0,0,0,59,63,80,65,80,58,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
9,Blastoise,water,,3,1,0,0,0,79,83,100,85,105,78,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
10,Caterpie,bug,,1,0,0,0,0,45,30,35,20,20,45,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
11,Metapod,bug,,2,0,0,0,0,50,20,55,25,25,30,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
12,Butterfree,bug,flying,3,1,0,0,0,60,45,50,90,80,70,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
13,Weedle,bug,poison,1,0,0,0,0,40,35,30,20,20,50,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
14,Kakuna,bug,poison,2,0,0,0,0,45,25,50,25,25,35,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
15,Beedrill,bug,poison,3,1,0,0,0,65,90,40,45,80,75,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
16,Pidgey,normal,flying,1,0,0,0,0,40,45,40,35,35,56,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
17,Pidgeotto,normal,flying,2,0,0,0,0,63,60,55,50,50,71,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
18,Pidgeot,normal,flying,3,1,0,0,0,83,80,75,70,70,101,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
19,Rattata,normal,,1,0,0,0,0,30,56,35,25,35,72,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
20,Raticate,normal,,2,1,0,0,0,55,81,60,50,70,97,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
21,Spearow,normal,flying,1,0,0,0,0,40,60,30,31,31,70,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
22,Fearow,normal,flying,2,1,0,0,0,65,90,65,61,61,100,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
23,Ekans,poison,,1,0,0,0,0,35,60,44,40,54,55,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
24,Arbok,poison,,2,1,0,0,0,60,95,69,65,79,80,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
27,Sandshrew,ground,,1,0,0,0,0,50,75,90,10,35,40,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
28,Sandslash,ground,,2,1,0,0,0,75,100,120,25,65,65,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
29,Nidoran♀,poison,,0,0,0,0,0,55,47,52,40,40,41,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
30,Nidorina,poison,,3,0,0,0,0,70,62,67,55,55,56,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
31,Nidoqueen,poison,ground,4,1,0,0,0,90,92,87,75,85,76,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
32,Nidoran♂,poison,,0,0,0,0,0,46,57,40,40,40,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
33,Nidorino,poison,,0,0,0,0,0,61,72,57,55,55,65,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
34,Nidoking,poison,ground,0,0,0,0,0,81,102,77,85,75,85,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
37,Vulpix,fire,,1,0,0,0,0,38,41,40,50,65,65,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
38,Ninetales,fire,,2,1,0,0,0,73,67,75,81,100,109,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
39,Jigglypuff,normal,fairy,2,0,0,0,0,115,45,20,45,25,20,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
40,Wigglytuff,normal,fairy,3,1,0,0,0,140,70,45,85,50,45,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
43,Oddish,grass,poison,1,0,0,0,0,45,50,55,75,65,30,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
44,Gloom,grass,poison,2,0,0,0,0,60,65,70,85,75,40,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
45,Vileplume,grass,poison,3,1,0,0,0,75,80,85,110,90,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
46,Paras,bug,grass,1,0,0,0,0,35,70,55,45,55,25,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
